,name,,Gen Appr,General Approach Standardized,Spec Appr,Specialized Approach Standardized,Gen Geogr,Spec Geogr,Comments Stephan,prob,frex
11,11,,Religious History,Religious History,Funeral rituals,Funeral Rites,Africa?,Madagascar,agree,"ritual, death, templ, dead, ceremoni, cult, god, one, king, statu, also, spirit, power, cemeteri, funer, madagascar, coin, symbol, bodi, deiti","corrol, kintu, sakalava, betsimisaraka, radama, merina, caulier, tamatav, wannian, kerma, challan, nubia, hasina, nubian, malagasi, cemeteri, tromba, statu, imerina, graveston"
12,12,,Political,Political History,Revol 1848,,European History,France,agree,"french, franc, pari, des, les, see, nation, general, polit, republ, dan, sur, lyon, 1848, one, revu, histoir, also, prefect, depart","blanquist, monfalcon, syndicat, enfantin, blanqui, subprefect, liegeoi, guesdist, pivert, croix-rouss, saint-simonian, nadaud, couriau, statistiqu, ouvrier, bb30, duvergi, alcool, prefect, aud"
13,13,,Art History,Art History,Exhibitions,Exhibitions,?,?,agree,"art, paint, imag, photograph, artist, museum, new, exhibit, object, cultur, visual, work, pictur, film, see, collect, figur, photographi, print, world","photographi, mofokeng, halprin, siqueiro, diorama, artwork, caricaturist, nadar, cartoonist, photograph, giorgion, santu, paint, cartoon, sculptur, visual, lorenzetti, artist, caricatur, art"
14,14,,Economic History,Economic History,Markets & Trade,Markets & Trade,? World?,?,to distinguish from Topic 7.,"econom, market, trade, economi, product, industri, capit, price, money, busi, good, merchant, commerci, import, increas, system, debt, export, bank, produc","market, debt, loan, export, entrepreneur, price, credit, economi, jute, bank, creditor, profit, money, manufactur, invest, currenc, monetari, debtor, financ, commerc"
15,15,,Ancient History or Classics,Classics,Classics,,Classics,Greece & Rome,,"roman, greek, ancient, centuri, see, mediev, rome, histori, empir, antiqu, age, christian, greec, classic, earli, also, first, text, new, world","pastorius, templum, grundtvigian, rudbeck, plini, vespasian, grundtvig, garnsey, herodotus, flavian, danmark, strabo, holberg, achaemenid, boemus, pizan, greek, abb�, athenian, vinland"
16,16,interesting topic. There’s a lot on suffragists here as well. Was Calhoun a populist?, ?US economic (railroads and newspapers),Political History,Progressive Era (19th century),Social Movements,U.S. History,New York,Most of the top titles deal with the 19th century.,"new, york, state, calhoun, american, convent, paper, john, ibid, railroad, see, movement, nation, suffrag, interest, populist, men, republican, may, time","moreel, amesburi, calhoun, buren, lyceum, kossuth, suffragist, abigail, stanton, populist, tyler, bockel, cranch, exodust, sault, huntington, mcintir, antitrust, 1842, copperhead"
17,17,I’m tempted to put this under political or cultural history. It seems to be about political culture,Imperial/colonial,Colonial History,Japan colonized Korea,,East Asian History,Japan,"agree. Japan is very dominant, though.","japan, japanes, tokyo, meiji, korean, nation, korea, new, pacif, world, american, see, state, western, also, govern, univers, war, modern, kagawa","kagawa, bakufu, maruyama, yakuza, muragaki, yoshino, mechnikov, ipr, ishin, nihon, daimyo, meiji, sasebo, shinbun, chos�, otsuka, asahi, kimura, samurai, yoshimi"
18,18,,Education,History of Education,All levels,,?,Germany--Volksschule mentioned,agree,"school, educ, student, teacher, univers, profession, teach, colleg, train, social, profess, class, year, institut, cours, one, learn, graduat, high, studi","f17, curriculum, duruy, teacher, classroom, enrol, student, school, conducteur, graduat, educ, pupil, faculti, pedagog, deaf, teach, elementari, literaci, secondari, volksschul"
19,19,,Medicine,History of Medicine,Public Health ,Public Health,? Probably US,?,"agree. This is a really interesting topic that combines public health, homes, and cultural history","home, new, american, disabl, social, york, veteran, smoke, health, public, see, histori, toy, hous, engin, hobbi, journal, profession, industri, tobacco","tenbroek, rubinow, electrolysi, hobbi, carvill, behrend, playroom, disabl, smoke, toy, crittenton, cigarett, homeless, smoker, evanston, homeownership, wyler, smokeless, hovland, liner"
20,20,,Noise (dates),Noise,Noise (Dates),Dates,Noise,Dates,agree,"octob, april, februari, januari, march, septemb, novemb, june, decemb, august, juli, may, see, day, meet, month, time, week, young, 1933","februari, octob, novemb, januari, septemb, april, mormon, august, decemb, march, june, juli, 1933, 1934, 1935, 1932, 1931, minut, 1938, 1937"
21,21,,Native American History,Indigenous History,U.S. History (Native American History),Native Americans,U.S. History,Native American History,"Should we group this under U.S. History as “U.S. History (Native Americans)?” The two wild spikes in the 1960s and 2000s are remarkable.  Agree--yes, ","indian, collect, iroquoi, archaeolog, record, nativ, creek, nation, histor, archiv, relat, among, also, univers, villag, cheroke, tribe, american, new, librari","shuar, labret, kahnawak, achuar, jivaro, malatchi, narrain, pashto, gunflint, beaudri, seminol, naya, acorn, catlin, choctaw, whistler, chickasaw, nunamiut, nadwi, harner"
22,22,,Legal history,Legal History,Criminal Justice,Criminal Justice,?,? No data,,"crime, prison, violenc, case, polic, crimin, court, convict, punish, murder, trial, arrest, one, victim, sentenc, kill, report, accus, law, justic","homicid, penitentiari, crime, prison, crimin, incarcer, penal, murder, sentenc, theft, thiev, jail, prosecut, convict, punish, juror, juri, violenc, rape, offend"
23,23,,Slavery (slave trade),History of Slavery,Slavery (Caribbean),,Caribbean,British islands,agree,"slave, slaveri, free, labor, master, plantat, negro, coloni, freedom, planter, white, emancip, black, enslav, see, trade, british, abolit, caribbean, south","benezet, dessalin, slaveri, slave, manumiss, jamaica, barbado, slaveown, bondag, antislaveri, chattel, slavehold, enslav, planter, trinidad, abolit, ex-slav, jamaican, manumit, servitud"
24,24,I think there’s too much on Hitler and Prussa to file this under unification,Political ,Political History,unification,,European History,Germany,,"der, und, german, die, von, berlin, des, germani, see, das, zur, geschicht, prussian, ein, also, den, prussia, imperi, reform, leipzig","wetzlar, gneist, miinzenberg, philippist, mayerl, uspd, sebottendorff, gnesio-lutheran, wiesfleck, fahn, thuringian, habermann, schenda, glatzel, muinzenberg, tischreden, vetsera, clasen, borsenblatt, flacius"
25,25,,Colonial,Colonial History,13 colonies,Thirteen British Colonies,U.S. History,New England,agree,"new, york, england, boston, town, american, massachusett, histori, see, counti, social, john, societi, coloni, earli, william, famili, philadelphia, communiti, america","hingham, ipswich, ursulin, wilkes-barr, hasbrouck, salem, wayland, northampton, andov, hampshir, connecticut, lockridg, davenport, massachusett, heimert, parkman, thanksgiv, hempstead, presbyterian, awaken"
26,26,,Colonial,Colonial History,British colonization of India,British Colonization of India,South Asian History,India,agree,"india, indian, british, coloni, cast, hindu, muslim, delhi, south, also, tradit, see, bengal, religi, one, calcutta, languag, cultur, modern, madra","vanniyar, tagor, dalit, brahmo, samaj, brahman, gounder, karanam, tenz, panchayat, qissa, naoroji, nepali, all-india, mleccha, bengali, aurobindo, hinduism, sarkar, nepal"
27,27,,Gender/women (lumping these 2),Women’s and Gender History,Food and Consumption,Food and Consumption,US,?,agree,"consum, new, food, consumpt, cultur, good, cloth, social, advertis, store, american, fashion, see, also, york, women, ofth, modern, journal, product","corset, cookbook, legouv, supermarket, camper, lingeri, corsetless, sportswear, consumer, tourism, policewomen, cuisin, consum, vacat, consumpt, retail, pageant, shopper, voilquin, stamp"
28,28,,Political (British),Political History,Political parties,Political Parties,European History,Great Britain,,"london, english, england, lord, hous, common, king, parliament, john, sir, earli, scotland, william, centuri, whig, great, polit, one, scottish, court","strafford, pepi, baronet, kishlanski, alehous, cromwel, scotland, westminst, borough, buckingham, scot, wentworth, peerag, whig, scottish, earl, impeach, essex, tudor, attaind"
29,29,,Race,History of Race,Race,,US,Southern,mostly United States & African Americans,"black, white, south, negro, african, american, southern, race, counti, racial, new, state, histori, citi, chicago, communiti, north, lynch, color, war","edgefield, firefight, stfu, african-american, harlem, src, lynch, garvey, memphi, black, appalachian, afro-american, fssp, louisvill, arkansa, negro, savannah, southern-born, courthous, fsa"
30,30,,Jewish History,Jewish History,Jewish History,,Jewish History,,agree,"jewish, jew, arab, israel, palestin, nation, palestinian, anti-semit, polish, communiti, see, zionist, polit, new, isra, judaism, hebrew, among, herzl, cultur","herzl, histadrut, kibbutz, palestinian, hadassah, non-jewish, aviv, non-jew, ncjw, smolenskii, kibbutzim, balterm, hutterian, bundist, schoner, nakba, hassid, arab-jewish, tel-aviv, kibbutznik"
31,31,,Political,Political History,cultural/intellectual,Nations & Nationalism,Political History,Nations & Nationalism,to make it a bit more specific,"nation, cultur, state, polit, ident, press, univers, peopl, ethnic, practic, differ, discours, languag, form, communiti, social, 1993, also, 1992, 1996","nation-st, modular, mauritian, bourdieu, discours, discurs, nationhood, ident, rwandan, arosi, appadurai, 1993, 1996, bika, 1991, 1994, comaroff, brubak, asad, ngos"
32,32,,Cultural,Cultural History,Memory,Memory,?,?,This is not noise but it’s really hard to grasp what it is. It’s about memory and historicity in various forms.,"one, time, peopl, like, even, life, way, make, live, man, day, mani, much, come, stori, year, say, seem, can, said","get, carita, talk, told, say, stori, tell, thing, know, someth, walk, got, want, bit, happen, joke, everyon, said, everyth, knew"
33,33,,Military,Military History,Military History,,?,?,,"war, militari, armi, soldier, offic, forc, men, troop, command, battl, arm, general, civilian, fight, servic, one, see, use, enemi, warfar","infantri, musket, cavalri, regiment, artilleri, civilian, hermion, armi, battalion, soldier, adm, cannon, troop, gun, mutini, firearm, pollen, conscript, submarin, militari"
34,34,,Economic History,Economic History,Trade,Trade,East Asian History,China/ also South Asian and India,,"trade, centuri, asia, china, world, histori, region, chines, asian, east, earli, silver, india, journal, southeast, indian, also, ocean, sea, empir","kushan, lateen, quanzhou, ayutthaya, zhilong, ldez, afro-eurasian, yuezhi, rimland, periplus, siraf, bactria, myanmar, banjar, eurasia, yunnan, barends, stepp, toungoo, ceram"
35,35,,Art History,Art History,Music,Music,?,,when is something “history of” and when is it just the term? I don’t know.,"music, opera, perform, cultur, new, danc, play, theater, audienc, see, popular, stage, song, modern, public, also, sound, one, work, compos","d'eon, libretto, gershwin, skinhead, ballet, pipa, cakewalk, eliogabalo, semah, musicolog, porgi, latifa, musiqu, poppea, janacek, honegg, freischiitz, elocut, boretti, lulli"
36,36,,Colonial History,Colonial History,European colonizing ,,Asia,Indonesia and other European colonies Early Modern,"many options here. It’s broadly about Asian colonial history, so could be Asian history (colonial) or Colonial history (asia) or just colonial history","coloni, european, dutch, british, indian, india, asia, indonesia, malay, centuri, indonesian, southeast, island, singapor, java, london, chines, asian, east, histori","javanes, kandyan, sinhala, kandi, penang, ibu, non-malay, johor, selangor, bencoolen, snouck, indonesian, nzwani, djakarta, lankan, temenggong, malaya, kashmiri, colombo, corbyn"
37,37,,Political (fraternal organizations),Political History,Political History (Fraternal Organizations),Fraternal Organizations,US,Fraternal Organizations,agree,"organ, associ, polit, member, movement, social, lodg, new, citi, societi, american, order, public, communiti, fratern, leader, knight, activ, meet, group","fratern, parad, paterson, awak, lodg, legion, pythian, suffragett, brotherhood, knight, costoni, belmont, toast, wctu, putnam, directori, joiner, catt, pythia, crusad"
38,38,,Social,Social History,Demographic,Demographic,"Looks like US (""white collar"")",,can we classify this as a particular kind of social history? The peak in the 1970s and ‘80s checks out.,"percent, tabl, popul, data, number, occup, rate, census, total, social, citi, mobil, group, per, year, differ, statist, class, urban, period","pef, lfpr, percentag, ipum, data, census, sampl, tabl, 100.0, percent, white-collar, proport, variabl, statist, occup, log-linear, averag, upward, ratio, mobil"
39,39,,Medicine ,History of Medicine,Epidemics/disease,Disease & Epidemics,?,"? Wherever it is, you don't want to be there!!",,"diseas, plagu, health, cholera, epidem, medic, death, journal, see, fever, rat, kipl, new, orient, human, yellow, also, vaccin, medicin, infect","bcg, hepat, rodent, qina, cuningham, cowdri, cholera, schemann, fayrer, 1983-87, falciparum, yersinia, kipl, vaccin, tedli, gobineau, quarantin, pesthous, vivax, calmett"
40,40,,European,,French,,Europe,France,agree,"les, des, pari, que, franc, sur, french, dan, qui, pour, par, see, centuri, une, loui, histoir, nobil, nobl, vous, est","boulainvilli, viret, blafard, tremoill, remplac, votr, tillet, thiebault, serait, donc, francogallia, laquell, haillan, tr6moill, croisd, croise, maultrot, contrair, l'e'duc, noot"
41,41,my vote would be for social history,Intellectual,Intellectual History,Historiography,Historiography,Historiography,,"I’m still tempted to call it Social History (Annales).  It's the THEORY of social history, not social history itself.  ??","histori, one, book, war, new, studi, polit, historian, centuri, braudel, author, work, review, french, tion, univers, year, great, franc, nation","mornet, braudellien, namier, braudel, febvr, simiand, parthenop, louie, lucien, cairn, berr, greer, gottschalk, verney, shirer, dure', labrouss, pribram, lanson, lafayett"
42,42,,Spanish Colonial History,Colonial History,Colonial History (Spanish Empire),Spanish Empire,Colonial History,Spanish Empire,,"philippin, spanish, coloni, write, languag, manila, nativ, new, univers, press, filipino, use, tagalog, script, time, inka, maya, ruler, king, also","rizal, taqali, tagalog, imelda, gayo, loob, guaymi, khipu, tlatohuani, nainsi, katipunan, inka, mabini, tecuht, zantwijk, khipus, basio, filipino, qhapaq, canarian"
43,43,,Social History,Social History,Social History,,Social History,,agree,"social, societi, one, chang, differ, can, may, group, relat, cultur, studi, develop, use, general, tradit, structur, problem, system, individu, import","sociolog, structur, type, analysi, differenti, behavior, function, pattern, chang, factor, theoret, approach, societi, aspect, social, characterist, basic, can, process, model"
44,44,,Political History,Political History,Political History (Parties & Elections),Parties & Elections,?,?,,"parti, polit, elect, vote, elector, democrat, support, voter, democraci, one, nation, two, major, candid, radic, group, govern, conserv, member, first","mrp, voter, elector, schohari, vote, elect, ballot, cleavag, gueniffey, parti, soglo, elec, poll, candid, turnout, referendum, one-parti, franchis, shrewsburi, partisan"
45,45,,Economic History,Economic History,Labor,Labor,Europe,?,,"worker, labor, work, industri, union, employ, strike, wage, factori, trade, class, skill, job, manag, organ, new, product, social, forc, compani","creusot, scalis, strikebreak, spinner, pgc, graissessac, peasant-work, shoebind, bezon, worker, journeymen, workforc, workplac, foremen, shop-floor, anzin, factori, hardhat, nwlb, machinist"
46,46,,Islamic,Islamic History,Islamic History,,Middle East,,agree,"islam, ottoman, muslim, arab, egypt, religi, empir, turkish, egyptian, see, also, centuri, middl, sultan, iran, istanbul, cairo, turkey, one, turk","shici, kijaji, fatwa, madrasa, sistani, bba, d6nme, almohad, ulama, islamist, phanariot, wahhab, ruhi, voyvoda, hamidian, pesantren, dinm, sijil, efendi, imaret"
47,47,,Gender,Women’s and Gender History,Family,Family,?,,agree,"famili, marriag, household, marri, children, father, son, one, husband, wife, widow, daughter, servant, case, parent, live, social, age, divorc, name","remarri, adabraka, spous, widow, divorc, dowri, marriag, marri, remarriag, household, bride, laslett, waipu, daughter, famili, husband, conjug, wife, inherit, marit"
48,48,I think this extends beyond phrenology,Science,History of Science,Prenology,Science in the Public Sphere,Britain,,agree,"scienc, scientif, natur, enlighten, see, london, societi, social, new, centuri, univers, work, darwin, also, knowledg, smith, scientist, theori, intellectu, man","phrenolog, froud, tayler, gedik, thelwal, borujerdi, ornitholog, tremenheer, lafora, phrenologi, rammohun, spurzheim, ellul, phrenologist, humboldt, darwin, idioci, unitarian, chesterfield, moreau"
49,49,,Social History,Social History,Rural,Rural,Europe,Local & Micro,not sure that micro is correct but there’s a local flavor to this topic,"villag, peasant, local, rural, communiti, town, region, area, social, land, tax, collect, provinc, countrysid, one, often, district, mani, communal, peasantri","seignior, bandit, banditri, peasant, villag, peasantri, rural, countrysid, tith, tenishev, communal, pelageia, posidelki, landless, pea, brigandag, commune, vil, brigand, landlord"
50,50,,Religious History (Christianity),Religious History,Christainity,Christianity,?,Christianity,agree,"church, religi, christian, cathol, religion, god, protest, secular, priest, faith, missionari, bishop, saint, see, theolog, reform, spiritu, clergi, parish, author","laiti, bucer, cpf, catholic, pentecost, church, protestant, jesus, christ, cathol, dioces, theolog, lutheran, bishop, parishion, anabaptist, votiv, evangel, religion, sacrament"
51,51,,Cultural,Cultural History,Renaissance,Renaissance,Europe,Italy,,"venic, florenc, see, venetian, renaiss, centuri, citi, del, florentin, italian, itali, della, polit, one, rome, also, state, earli, mediev, giovanni","anzola, barberini, terraferma, chittolini, cosimo, sbirri, brescian, taddeo, berengo, signoria, popolani, rettori, lusanna, cattarina, scudi, angelelli, asb, cozzi, pepoli, carcerati"
52,52,,Cultural,Cultural History,Beliefs/Freud/Psychoanalysis,Beliefs/Freud/Psychoanalysis,Europe,,there’s …. a lot in this topic and I think it should be more specific than just intellectual history,"freud, witchcraft, suicid, witch, bodi, magic, also, patient, see, psycholog, psychoanalysi, case, accus, one, demon, sleep, person, belief, fear, centuri","sanniya, sanni, guna-guna, strava, breil, topsel, fabliau, huguett, fabliaux, psychoanalysi, srm, witchcraft, freud, a209, witch, macnish, nganga, psychoanalyt, anorexia, suicid"
53,53,,Political (British),Political History,Political History (Great Britain),,Britain,London,agree,"liber, govern, georg, war, london, parti, labour, lloyd, british, time, churchil, cabinet, lord, may, minist, conserv, nation, tion, asquith, polit","asquith, repington, blimp, westarp, schnadhorst, wsc, gort, bentinck, lasker, weygand, goschen, bonar, reynaud, churchil, lca, dnvp, campbell-bannerman, lambach, gladston, unionist"
54,54,,South Asian History,,South Asian History,,South Asian History,India,agree,"india, mughal, portugues, see, centuri, trade, also, pirat, compani, european, ruler, empir, merchant, king, histori, court, indian, world, ottoman, state","jahangir, julfa, rampur, temur, piozzi, picton, mihran, wira, siddiq, vallabha, saurashtra, awadh, asaf, nawab, mughal, jahangirnama, rohilla, aslanian, piraci, varthema"
55,55,,Intellectual (Marxism),Intellectual History,Marxism,Marxism,Europe,Germany?,agree,"revolut, social, class, polit, movement, revolutionari, liber, socialist, radic, new, marx, ideolog, societi, bourgeoi, intellectu, econom, weber, marxist, capit, struggl","lukac, marx, marxist, marxism, proletariat, weber, bourgeoisi, engel, revolutionari, bourgeoi, maal, revolut, proletarian, revolu, anarchist, socialist, zetkin, marxian, proudhon, tocquevill"
56,56,,Social,Social History,Urban History,,?,,agree,"citi, urban, hous, space, build, street, neighborhood, new, town, place, social, plan, public, resid, live, communiti, area, one, architectur, center","okiek, bobigni, sepych, blat, lindt, kipsigi, ndaraweta, bodiam, architectur, plain-deal, neighborhood, tesfay, spatial, guanxi, space, jat, mandai, korowai, urban, slum"
57,57,,Race ??  What's the big category here? ,,Holocuast,Holocaust,European History,Germany,agree,"memori, war, holocaust, past, victim, histor, histori, event, narrat, experi, one, genocid, death, also, time, collect, nazi, friedland, present, commemor","holocaust, cypriot, mkwawa, friedland, auschwitz, genocid, cremat, goldhagen, memori, commemor, rousso, atroc, hilberg, extermin, schindler, vonnegut, perpetr, survivor, hehe, remembr"
58,58,,Environment,Environmental History,Oceans ,Oceans,?,,agree,"forest, environment, fish, water, natur, land, ecolog, tree, island, hunt, river, new, resourc, environ, plant, main, peopl, landscap, year, sea","faroes, lobster, ecosystem, maohi, worster, durian, cofrad, rejang, frier, fisheri, peluso, ninka, faro, hiker, schrauwer, texel, niod, forestri, environment, oyster"
59,59,,Colonial,Colonial History,Africa (British colonialization of),Africa (British Colonization of),Africa,,This seems more specific to Africa than GB.,"african, coloni, africa, south, nativ, polit, white, cape, see, kenya, british, also, european, peopl, chief, govern, east, movement, london, tanzania","kamba, kikuyu, luthuli, nyerer, kna, afrikan, hintsa, johannesburg, transvaal, nkosi, buthelezi, rhodesian, tanu, angoulv, machako, inkatha, mayekiso, maji, ilrm, icu"
60,60,,Eastern Europe,Political History,Soviet,Communism,European History,Soviet Union,agree,"soviet, communist, parti, war, stalin, state, union, peopl, moscow, vietnames, vietnam, russian, nation, see, new, also, leader, central, organ, govern","komsomol, samphan, kke, quisl, nkvd, uzic, foco, djurdjev, usfet, rgae, nof, minh, drv, 9493, trainin, vyshinskii, tsga, kampuchea, tukhachevski, hanjian"
61,61,,Medicine (phyisician),History of Medicine,History of Medicine  (Doctors & Patients),Doctors & Patients,History of Medicine ,Europe,agree,"medic, health, physician, hospit, doctor, patient, medicin, birth, asylum, diseas, practic, nurs, care, control, case, one, report, babi, histori, infant","lamaz, crech, homeopath, rainhil, ppm, immunis, exminst, midwiv, l'accouch, midwiferi, wem, obstetr, sheppard-town, chiropract, lunat, foreskin, dispensari, zakrzewska, midwif, asylum"
62,62,,Cultural,Cultural History,Sports,Sports,Britian,London,,"london, class, social, sport, britain, work, british, victorian, club, histori, centuri, game, working-class, labour, ofth, play, see, england, also, leisur","cricket, salford, blackpool, footbal, middlesbrough, scuttler, costermong, basebal, chartism, sport, chartist, edwardian, hillyar, athlet, rugbi, cobb, leed, mayhew, mid-victorian, coney"
63,63,,Political,Political History,German,,Europe,Germany,could also go as “Political History (Germany),"german, germani, war, austria, polici, austrian, foreign, franc, russia, govern, bismarck, power, minist, berlin, vienna, french, russian, von, nation, prussia","buol, rechberg, tisza, metternich, lichnowski, neurath, arnim, visconti-venosta, rantzau, weizsack, thugut, burian, maeh, stresemann, bernstorff, strese, nigra, bosdari, romanzoff, hhsa"
64,64,,Slavery (slave trade),History of Slavery,Slavery (Slave Trade),Slave Trade,Africa,,,"african, africa, slave, trade, west, coast, ghana, european, rice, yoruba, cultur, coloni, new, see, atlant, ethnic, centuri, histori, nigeria, maroon","igbo, geeche, gullah, maraka, benin, ghanaian, akan, igboland, aladura, accompong, mandinka, jola, maranh�, sarbah, ajayi, tstd2, maroon, staden, praad, ghana"
65,65,,Latin America ,Environmental History,drug trafficking,Science and Technology in the Global South,Latin America,,"lots going on in this one, I agree. Still tempted to put it as a general latin america topic","latin, argentina, chile, drug, america, air, bueno, miner, mine, american, new, use, chilean, nation, peru, see, del, univers, argentin, cocain","yerba, gaucho, marihuana, chilean, amphetamin, popular-front, payador, radon, cayamb, berisso, bignon, tinsman, tarapac�, ansling, cocain, argentin, estanciero, guano, nitrat, coca"
66,66,,Economic History,Economic History,Demographic,Demographic,Public Health,It's really about population change??  Infant mortality,I really don’t know about this one. Lots on nutrition and infant mortality  LS: I don't see any nutrition. ??,"popul, age, fertil, birth, year, mortal, rate, death, demograph, declin, famin, centuri, chang, data, increas, period, climat, growth, number, studi","bmis, bmi, tree-r, tambora, enso, aerosol, ice-cor, shepsh, briffa, demeni, arakawa, ��, ���, post-neonat, vei, fleischhack, gisp2, speleothem, ppr, volcan"
67,67,,Native American History,Indigenous History,America--including caribbean and canadian,Native Americans,America,Native American,agree,"indian, nativ, cultur, american, peopl, mission, new, white, indigen, missionari, european, see, civil, coloni, tribe, anthropolog, one, among, savag, land","berdach, neolin, cahuilla, pequot, carib, kwakwaka'wakw, inuit, potlatch, cree, dixon, casement, boa, putumayo, anasazi, savag, phoenix, assiniboin, patencio, stoney, lenap"
68,68,,Intellectual History,Intellectual History,Intellectual History,,Intellectual History,,agree,"human, cultur, histori, natur, theori, concept, histor, anthropolog, one, scienc, time, univers, mean, form, object, world, modern, new, can, subject","blumenberg, fasolt, heidegg, koselleck, urapmin, selectionist, evolutionari, foucault, cassir, hegel, kant, levi-strauss, l6with, fracchia, lewontin, steigmann-gal, mauss, schmitt, earthris, phenomenolog"
69,69,,Cultural,Cultural History,Childhood,Childhood,?,,Could this go under Cultural History (Childhood & Family)?,"children, child, mother, famili, parent, poor, girl, age, social, home, work, boy, care, chariti, youth, young, childhood, school, adult, ofth","childrear, boisard, nurseri, orphanag, froebel, childhood, foundl, chariti, child, orphan, children, parent, workhous, pauper, girl, childcar, adolesc, mother, dren, chil"
